Time [s],Channel 0,Channel 1
0.126601083,0,1
0.126601167,0,0
0.126601250,0,1
0.126601417,0,0
0.126601583,0,1
0.126601750,0,0
0.126601833,0,1
0.126601917,0,0
0.126602000,0,1
0.126602083,0,0
0.126602250,0,1
0.126602417,0,0
0.126602500,0,1
0.126602583,0,0
0.126602667,0,1
0.126602750,0,0
0.126602833,0,1
0.126602917,0,0
0.126603083,0,1
0.126603250,0,0
0.126603333,0,1
0.126603417,0,0
0.126603583,0,1
0.126603667,0,0
0.126603750,0,1
0.126603917,0,0
0.126604083,0,1
0.126604167,0,0
0.126604250,0,1
0.126604333,0,0
0.126604417,0,1
0.126604500,0,0
0.126604583,0,1
0.126604667,0,0
0.126604750,0,1
0.126604917,0,0
0.126605000,0,1
0.126605083,0,0
0.126605250,0,1
0.126605333,0,0
0.126605417,0,1
0.126605500,0,0
0.126605583,0,1
0.126605667,0,0
0.126605750,0,1
0.126605833,0,0
0.126605917,0,1
0.126606000,0,0
0.126606083,0,1
0.126606250,0,0
0.126606333,0,1
0.126606417,0,0
0.126606500,0,1
0.126606583,0,0
0.126606750,0,1
0.126606833,0,0
0.126606917,0,1
0.126607083,0,0
0.126607250,0,1
0.126607417,0,0
0.126607583,0,1
0.126607667,0,0
0.126607750,0,1
0.126607833,0,0
0.126607917,0,1
0.126608000,0,0
0.126608083,0,1
0.126608167,0,0
0.126608250,0,1
0.126608417,0,0
0.126608500,0,1
0.126608583,0,0
0.126608667,0,1
0.126608750,0,0
0.126608833,0,1
0.126608917,0,0
0.126609000,0,1
0.126609083,0,0
0.126609250,0,1
0.126609417,0,0
0.126609583,0,1
0.126609667,0,0
0.126609750,0,1
0.126609917,0,0
0.126610083,0,1
0.126610250,0,0
0.126610333,0,1
0.126610417,0,0
0.126610500,0,1
0.126610583,0,0
0.126610667,0,1
0.126610750,0,0
0.126610917,0,1
0.126611083,0,0
0.126611167,0,1
0.126611250,0,0
0.126611417,0,1
0.126611500,0,0
0.126611583,0,1
